id,doi,is_oa,source,oa_url,host_type
234,10.1080/10618600.2017.1356730,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/5956967,repository
235,10.1080/01621459.2017.1366907,True,semantic_scholar,https://dr.lib.iastate.edu/bitstreams/da18d687-80b2-4c33-8878-a11f8b2d0524/download,
236,10.1016/j.jmva.2024.105311,False,,,
237,10.4310/SII.260108020202,False,,,
238,10.5705/ss.202021.0121,False,,,
239,10.32614/RJ-2024-034,True,unpaywall,https://doi.org/10.32614/rj-2024-034,publisher
240,10.1007/s11634-022-00500-y,True,unpaywall,https://link.springer.com/content/pdf/10.1007/s11634-022-00500-y.pdf,publisher
243,10.1016/j.csda.2020.107124,True,unpaywall,https://www.sciencedirect.com/science/article/pii/S0167947320302152/pdf,publisher
244,10.1111/biom.13110,True,unpaywall,https://arxiv.org/pdf/1902.07788,repository
246,10.1080/02664763.2021.1951685,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/9559324,repository
247,10.1016/j.jprocont.2022.06.015,False,,,
248,10.1016/j.jspi.2021.01.003,False,,,
249,10.5705/ss.202021.0248,True,unpaywall,https://doi.org/10.5705/ss.202021.0248,publisher
250,10.1080/10618600.2024.2335182,True,unpaywall,https://figshare.com/articles/journal_contribution/Dynamic_Survival_Prediction_using_Sparse_Longitudinal_Images_via_Multi-dimensional_Functional_Principal_Component_Analysis/25871338,repository
252,10.1111/biom.13702,True,unpaywall,https://pmc.ncbi.nlm.nih.gov/articles/PMC10718172/pdf/nihms-1948126.pdf,repository
253,10.1007/s11587-025-01012-5,False,,,
254,10.1016/j.csda.2021.107343,True,unpaywall,https://www.ncbi.nlm.nih.gov/pmc/articles/8896739,repository
255,10.3390/math12172649,True,unpaywall,https://www.mdpi.com/2227-7390/12/17/2649/pdf?version=1724675115,publisher
256,10.1214/22-AOAS1643,False,,,
257,10.1002/sim.10324,True,unpaywall,https://doi.org/10.1002/sim.10324,publisher
258,10.1080/10485252.2026.2630359,False,,,
259,10.1360/SSM-2020-0116,False,,,
