id,title_short,decision,reason_code,confidence,rationale,revisado_manualmente,color_numbers
174,Functional principal component analysis for incomplete space–time data,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
175,Neural network prediction of crude oil futures using B-splines,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
176,Robust simultaneous inference for the mean function of functional data,include,none,baja,"Solo titulo disponible, terminologia FDA relevante, sin resumen para confirmar.",no,
177,Integrated Model Selection and Scalability in Functional Data Analysis Through Bayesian Learning,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
178,Partial Functional Linear Regression Model Based on Functional Principal Component Basis Expansion a,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
179,Estimation in functional partially linear spatial autoregressive model,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
180,Functional principal component analysis for longitudinal data with informative dropout,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
181,Dynamic predictions in Bayesian functional joint models for longitudinal and time-to-event data: An ,include,none,media,FDA/datos funcionales relevante pero sin discusion explicita de bases en el resumen.,no,
182,Semiparametric mixture regression for asynchronous longitudinal data using multivariate functional p,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
183,Smoothed least absolute deviation estimation in functional linear model,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
184,Bayesian flexible beta regression model with functional covariate,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
185,Model-based regression clustering for high-dimensional data: application to functional data,include,none,baja,"Solo titulo disponible, terminologia FDA relevante, sin resumen para confirmar.",no,
186,Novel whitening approaches in functional settings,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
187,A Study on the Functional Gaussian Process Regression Model Based on Neural Networks,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
188,Inference on volatility curve at high frequencies via functional data analysis,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
189,BFDA: A MATLAB toolbox for bayesian functional data analysis,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
190,A nonparametric test of group distributional differences for hierarchically clustered functional dat,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
191,Empirically Driven Orthonormal Bases for Functional Data Analysis,include,none,baja,"Solo titulo disponible, terminologia FDA relevante, sin resumen para confirmar.",no,
192,Quantile Function on Scalar Regression Analysis for Distributional Data,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
193,Turning Bands in Functional Geostatistics: A Simulation Tool for Spatially Correlated Curves,include,none,baja,"Solo titulo disponible, terminologia FDA relevante, sin resumen para confirmar.",no,
194,Spatial correlation in weather forecast accuracy: a functional time series approach,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
195,Statistical inference of varying-coefficient partial functional spatial autoregressive model,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
196,Partial separability and functional graphical models for multivariate Gaussian processes,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
197,Stochastic functional linear models for gene-based association analysis of quantitative traits in lo,include,none,baja,"Solo titulo disponible, terminologia FDA relevante, sin resumen para confirmar.",no,
198,Two-Dimensional Functional Principal Component Analysis for Image Feature Extraction,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
199,Data driven orthogonal basis selection for functional data analysis,include,none,alta,Discute representacion en bases/FPCA explicitamente en el resumen.,no,
200,Penalized spatial function-on-function regression,include,none,alta,"Regresión function-on-function con penalización tensor B-spline, PR1/PR3.",no,
