id,title_short,decision,reason_code,confidence,rationale,motivo_revision
1019,Advanced machine learning algorithms for flood susceptibility modeling — performance comparison: Red,exclude,I1,baja,Sin terminos FDA/base visibles; ML para inundaciones,exclusion_baja_confianza
1023,Gated blood pool tomography with Fourier analysis in diagnosis of arrhythmogenic right ventricular c,exclude,I1,baja,"Analisis de Fourier generico en cardiologia, sin frase FDA",exclusion_baja_confianza
1030,Fusion of contrast-enhanced breast MR and mammographic imaging data,exclude,I1,baja,Sin terminos FDA/base visibles; fusion de imagenes mamograficas,exclusion_baja_confianza
1031,Pulmonary vascular impedance and recipient chronic pulmonary hypertension following cardiac transpla,exclude,I1,baja,Sin terminos FDA/base visibles; cardiologia,exclusion_baja_confianza
1035,SPHARM-based spatial fMRI characterization with intersubject anatomical variability reduction,exclude,I1,baja,"fMRI (SPHARM), sin frase FDA",exclusion_baja_confianza
1036,Automatic deformable PET/MRI registration for preclinical studies based on B-splines and non-linear ,exclude,I1,baja,"B-splines para registro de imagenes generico, sin marco FDA",exclusion_baja_confianza
1037,Fusion trees for fast and accurate classification of hyperspectral data with ensembles of γ-divergen,exclude,I1,baja,"RBF generico en clasificacion hiperespectral, sin conexion FDA clara",exclusion_baja_confianza
1038,COLLINARUS: Collection of image-derived non-linear attributes for registration using splines,exclude,I1,baja,"Registro por splines generico, sin marco FDA",exclusion_baja_confianza
1043,Exponentially weighted moving average-based procedure with adaptive thresholding for monitoring nonl,exclude,I1,baja,Sin terminos FDA/base visibles; monitoreo de perfiles no lineales,exclusion_baja_confianza
1046,Multilevel analysis of trunk surface measurements for noninvasive assessment of scoliosis deformitie,exclude,I1,baja,Sin terminos FDA/base visibles; escoliosis,exclusion_baja_confianza
1048,Quantitative multi-modal functional MRI with blood oxygenation level dependent exponential decays ad,exclude,I1,baja,"Metodo fMRI (BOLDED AFFAIR), sin FDA estadistico",exclusion_baja_confianza
1054,Wavelet-based statistical analysis versus spm of brain imaging data,exclude,I1,baja,"Wavelet generico vs SPM en neuroimagen, sin frase FDA",exclusion_baja_confianza
1056,Nonparametric detection of profile treatment differences,exclude,I1,baja,Sin terminos FDA/base visibles; deteccion de perfiles,exclusion_baja_confianza
1057,Evaluation of the registration of temporal series of contrast-enhanced perfusion magnetic resonance ,exclude,I1,baja,"Registro de imagenes MRI de higado, sin FDA",exclusion_baja_confianza
1060,A comparative study on multiscale fractal dimension descriptors,exclude,I1,baja,Sin terminos FDA/base visibles; descriptores fractales,exclusion_baja_confianza
1065,Fusion viewer: A new tool for fusion and visualization of multimodal medical data sets,exclude,I1,baja,"Herramienta de fusion/visualizacion de imagenes medicas, sin FDA",exclusion_baja_confianza
1068,Advances in pre-processing and model generation for mass spectrometric data analysis,exclude,I1,baja,"Preprocesamiento de espectrometria de masas, sin FDA; posible E5 (seminario)",exclusion_baja_confianza
1100,Semi-parametric learning of structured temporal point processes,exclude,I1,baja,Sin terminos FDA/base visibles; procesos puntuales temporales,exclusion_baja_confianza
1109,Ranking-based evaluation of dynamic indicator trajectories: Evidence from LGBT rights in Europe,exclude,I1,baja,Sin terminos FDA/base visibles; trayectorias de indicadores LGBT,exclusion_baja_confianza
1119,Financial Risk Meter FRM based on Expectiles,exclude,I1,baja,Sin terminos FDA/base visibles; medidor de riesgo financiero,exclusion_baja_confianza
1146,Approximately mixing time series,exclude,I1,baja,Sin terminos FDA/base visibles; series de tiempo mixtas,exclusion_baja_confianza
1148,STCTb: A Spatio-Temporal Collaborative Transformer Block for Brain Diseases Classification Using fMR,exclude,I1,baja,"fMRI + transformer para clasificacion de enfermedades, sin marco FDA estadistico",exclusion_baja_confianza
1177,Monitoring time series with short detection delay,exclude,I1,baja,Sin terminos FDA/base visibles; monitoreo de series temporales,exclusion_baja_confianza
1181,Bayesian nonparametric change point detection for multivariate time series with missing observations,exclude,I1,baja,Series temporales multivariadas sin marco funcional explicito,exclusion_baja_confianza
1182,Inference on common intraday periodicity at high frequencies,exclude,I1,baja,Sin terminos FDA/base visibles; periodicidad intradia,exclusion_baja_confianza
1193,Exploring the Nonlinear Idiosyncratic Volatility Puzzle: Evidence from China,exclude,I1,baja,Sin terminos FDA/base visibles; volatilidad idiosincratica,exclusion_baja_confianza
1211,"Contemporary Experimental Design, Multivariate Analysis and Data Mining: Festschrift in Honour of Pr",exclude,I1,baja,Festschrift de diseno experimental/mineria de datos sin relacion aparente a FDA,exclusion_baja_confianza
1247,Construction of a green development performance index of industrial enterprises: Based on the empiri,exclude,I1,baja,"Indice de desempeno verde industrial, sin mencion de FDA",exclusion_baja_confianza
1315,Heterogeneous beliefs and the Phillips curve,exclude,I1,baja,"Creencias heterogeneas y curva de Phillips, economia pura sin FDA",exclusion_baja_confianza
1322,NONLINEAR INDEPENDENT COMPONENT ANALYSIS FOR DISCRETE-TIME AND CONTINUOUS-TIME SIGNALS,exclude,I1,baja,"ICA no lineal para senales, sin relacion evidente a FDA",exclusion_baja_confianza
1326,A goodness-of-fit test for geometric Brownian motion,exclude,I1,baja,"Test de bondad de ajuste para movimiento browniano geometrico, sin relacion a FDA",exclusion_baja_confianza
1349,Rich-text document styling restoration via reinforcement learning,exclude,I1,baja,"Restauracion de estilo de documentos via RL, sin relacion a FDA",exclusion_baja_confianza
1350,The Demographics of Defense and Security in Japan,exclude,I1,baja,"Demografia de defensa en Japon, sin relacion a FDA",exclusion_baja_confianza
1362,Change Point Analysis: Theory and Application,exclude,I1,baja,"Libro generico de analisis de puntos de cambio, sin indicio de enfoque FDA especifico",exclusion_baja_confianza
1385,Forecasting Error Pattern-Based Anomaly Detection in Multivariate Time Series,exclude,I1,baja,"Deteccion de anomalias en series de tiempo multivariadas, sin mencion de FDA",exclusion_baja_confianza
1388,"Big Data, Machine Learning and Statistics: Challenges and Opportunities",exclude,I1,baja,"Big Data/ML/Estadistica: revision generica, sin indicio especifico de FDA",exclusion_baja_confianza
1390,Exploring Universal Kriging Modelling for Functional Greenness Data Captured by Digital Webcams,exclude,I1,baja,"Kriging universal para datos de verdor via webcams, sin mencion de FDA",exclusion_baja_confianza
1391,"AI-Enabled Integrated Information Systems for Service Operations Performance: Linking Accounting, Di",exclude,I1,baja,"Sistemas de informacion con IA para operaciones de servicio, sin relacion a FDA",exclusion_baja_confianza
1600,Functional brain image analysis using joint function-structure priors,exclude,I1,baja,"'Functional' refiere a imagen cerebral (fMRI), no a FDA estadistica",exclusion_baja_confianza
1605,Failure probability control approach for service life evaluation in corrosive environment,exclude,I1,baja,"Evaluacion de vida util en ambiente corrosivo, sin relacion con FDA",exclusion_baja_confianza
1613,Gene set differential analysis of time course expression profiles via sparse estimation in functiona,exclude,E4,baja,"Modelo logistico funcional aplicado a expresion genica, dominio ajeno sin discusion de base",exclusion_baja_confianza
1628,Statistical state - space modeling via Kalman filtration,exclude,I1,baja,"Modelado de espacio de estados via Kalman, sin mencion de datos funcionales",exclusion_baja_confianza
1662,Strategic portfolio planning in industries with long R&D cycles and interrelated product offerings: ,exclude,I1,baja,"Planificacion estrategica de portafolio en I+D, sin relacion con datos funcionales",exclusion_baja_confianza
1665,Adding Support for Theory in Open Science Big Data,exclude,I1,baja,"Big data y ciencia abierta, sin relacion con FDA",exclusion_baja_confianza
1666,Adding Support for Theory in Open Science Big Data,exclude,I1,baja,"Mismo titulo que id 1665, posible registro en congreso paralelo, sin relacion con FDA",exclusion_baja_confianza
1667,The impact of special days in call arrivals forecasting: A neural network approach to modelling spec,exclude,I1,baja,"Pronostico de llamadas con red neuronal, no se menciona enfoque funcional",exclusion_baja_confianza
1669,Functional model selection for sparse binary time series with multiple inputs,exclude,I1,baja,"'Functional' probablemente refiere a forma funcional del modelo, no a FDA",exclusion_baja_confianza
1673,Comparing dissimilarity measures: A case of banking ratios,exclude,I1,baja,"Medidas de disimilitud para ratios bancarios, sin mencion de datos funcionales",exclusion_baja_confianza
1685,Direct forecasting of reservoir performance using production data without history matching,exclude,I1,baja,"Pronostico de desempeno de yacimientos petroleros, sin relacion con FDA",exclusion_baja_confianza
1688,Kriging unconventional production decline rate from geological and completion parameters,exclude,I1,baja,"Kriging de tasa de declinacion de produccion petrolera, sin relacion con FDA",exclusion_baja_confianza
1697,Frontiers in financial dynamics,exclude,I1,baja,"Titulo generico de editorial/perspectiva en dinamica financiera, sin senal de FDA",exclusion_baja_confianza
1711,A novel animal-borne miniature echosounder to observe the distribution and migration patterns of int,exclude,I1,baja,"Instrumento de ecosondeo animal, sin relacion con FDA",exclusion_baja_confianza
1715,Description of the scientific domain macrobrachium through the analysis of the authors with higher p,exclude,I1,baja,"Estudio bibliometrico de productividad de autores, sin relacion con FDA",exclusion_baja_confianza
1718,Heterogeneous disease progress of black leaf streak disease of banana at the within-leaf scale,exclude,I1,baja,"Progreso de enfermedad en hoja de banano, sin relacion con FDA",exclusion_baja_confianza
1721,Assessment of health devices regarding user requirements: The emotional dimension,exclude,I1,baja,"Evaluacion de dispositivos de salud, sin relacion con FDA",exclusion_baja_confianza
1726,"Investigation of Total Polyphenol Content, Antioxidant Activity, and Carbohydrate-hydrolyzing Enzyme",exclude,I1,baja,"Contenido de polifenoles en hojas de yacon, sin relacion con FDA",exclusion_baja_confianza
1729,Extreme learning machines for soybean classification in remote sensing hyperspectral images,exclude,I1,baja,"Clasificacion de soya con extreme learning machines, sin relacion con FDA",exclusion_baja_confianza
1748,Functional nestedness of anuran communities along gradients of pond area and permanence,exclude,I1,baja,"Anidamiento funcional de comunidades de anuros, rasgo ecologico, no FDA",exclusion_baja_confianza
1758,Proteomic and functional analyses of the venom of Porthidium lansbergii lansbergii (Lansberg's hogno,exclude,I1,baja,"Analisis proteomico y funcional de veneno de vibora, no FDA",exclusion_baja_confianza
1769,Genome-wide scan identifies a susceptibility locus for familial primary cutaneous amyloidosis on chr,exclude,I1,baja,"Locus de susceptibilidad genetica para amiloidosis cutanea, no FDA",exclusion_baja_confianza
1772,Suggestive linkage of familial primary cutaneous amyloidosis to a locus on chromosome 1q23,exclude,I1,baja,"Ligamiento genetico de amiloidosis cutanea, no FDA",exclusion_baja_confianza
1774,Probabilistic projections of the Argentine population,exclude,I1,baja,"Proyecciones probabilisticas de poblacion argentina, sin mencion de FDA",exclusion_baja_confianza
1787,"Two Stories of Wage Dynamics in Latin America: Different Policies, Different Outcomes",exclude,I1,baja,"Dinamica salarial en America Latina, sin mencion de metodologia FDA",exclusion_baja_confianza
1855,Transfer estimates for causal effects across heterogeneous sites,exclude,I1,baja,"Solo titulo, sin senal de datos funcionales; verificar en Etapa 2",exclusion_baja_confianza
1861,Distribution-Free Stochastic Analysis and Robust Multilevel Vector Field Anomaly Detection,exclude,I1,baja,"Solo titulo, sin senal de datos funcionales/bases; verificar en Etapa 2",exclusion_baja_confianza
1897,Dynamic prediction of disease progression for leukemia patients by FPCA,exclude,I1,baja,Solo titulo; aplicacion medica de FPCA sin foco en bases (E4 borde) - verificar en Etapa 2,exclusion_baja_confianza
1910,Time series forecasting by principal component methods,exclude,I1,baja,"Solo titulo, sin senal de FDA (PCA clasico, no funcional aparente)",exclusion_baja_confianza
1945,Generalized additive models. An introduction with R,exclude,I1,baja,"Libro general de GAM, no especifico de FDA/representacion en bases",exclusion_baja_confianza
1989,Statistical tools for finance and insurance,exclude,I1,baja,"Libro general de finanzas/seguros, sin contenido especifico de FDA",exclusion_baja_confianza
2005,Time series clustering and classification,exclude,I1,baja,"Titulo generico de series temporales, sin marco funcional",exclusion_baja_confianza
2531,Comparison of Clustering Methods for Time Course Genomic Data: Applications to Aging Effects,exclude,I1,baja,Comparación de métodos de clustering para datos genómicos de series temporales; sin marco FDA explícito en el resumen,exclusion_baja_confianza
2548,Semi-parametric local variable selection under misspecification,exclude,I1,baja,Selección de variable local semiparamétrica bajo mala especificación; sin conexión explícita a datos funcionales en el resumen,exclusion_baja_confianza
2564,Unsupervised learning of regression mixture models with unknown number of components,exclude,I1,baja,Modelos de mezcla de regresión no supervisados; sin mención explícita de datos funcionales en el resumen,exclusion_baja_confianza
2568,Sparse Fisher's discriminant analysis with thresholded linear constraints,exclude,I1,baja,Análisis discriminante de Fisher disperso con restricciones lineales umbralizadas; sin mención de datos funcionales,exclusion_baja_confianza
2598,Transfer Estimates for Causal Effects across Heterogeneous Sites,exclude,I1,baja,Estimación de efectos causales transferidos entre sitios heterogéneos; sin mención de datos funcionales,exclusion_baja_confianza
313,Functional data analysis with covariate-dependent mean and covariance structures,include,none,alta,"FDA con estructuras de media y covarianza dependientes de covariables, metodología central.",posible_duplicado_no_resuelto_en_7.1
319,Functional PCA With Covariate-Dependent Mean and Covariance Structure,include,none,media,"FPCA con media/covarianza dependiente de covariables; posible duplicado de id=313 (título casi idéntico), verificar manualmente.",posible_duplicado_no_resuelto_en_7.1
494,Oracle-efficient confidence envelopes for covariance functions in dense functional data,include,none,baja,Envolventes de confianza oracle-eficientes para funciones de covarianza; metodología general. Posible duplicado de id 533 (mismo título) — revisar en Zotero.,posible_duplicado_no_resuelto_en_7.1
533,Oracle-efficient confidence envelopes for covariance functions in dense functional data,include,none,baja,"Envolventes de confianza oracle-eficientes para funciones de covarianza; mismo título que id 494 — posible duplicado, revisar en Zotero.",posible_duplicado_no_resuelto_en_7.1
1053,Adaptive basis functions for prototype-based classification of functional data,include,none,alta,"Funciones base adaptativas para clasificacion de datos funcionales, metodologico",posible_duplicado_no_resuelto_en_7.1
1061,Adaptive basis functions for prototype-based classification of functional data,exclude,E3,media,Mismo titulo que id 1053 (version de congreso WSOM 2017 vs journal 2020) - posible duplicado no capturado en 7.1,posible_duplicado_no_resuelto_en_7.1
2491,Factor-augmented model for functional data,include,none,alta,"Modelo factor-aumentado para FDA, debate suavizado vs. componente factor, PR1/PR2",posible_duplicado_no_resuelto_en_7.1
2495,Factor-augmented Smoothing Model for Functional Data,exclude,E3,media,"Resumen casi idéntico al id 2491 (mismo grupo de autores/modelo factor-aumentado); probable duplicado no fusionado en §7.1, verificar",posible_duplicado_no_resuelto_en_7.1
1860,Minimax estimation of Functional Principal Components from noisy discretized functional data,include,none,baja,"Solo titulo; FPCA, PR2",posible_duplicado_no_resuelto_en_7.1
1909,Minimax estimation of Functional Principal Components from noisy discretized functional data,exclude,E3,alta,"Duplicado exacto de id=1860, no depurado en 7.1",posible_duplicado_no_resuelto_en_7.1
1995,Distribution-Free Stochastic Analysis and Robust Multilevel Vector Field Anomaly Detection,exclude,E3,alta,"Duplicado exacto de id=1861, no depurado en 7.1",posible_duplicado_no_resuelto_en_7.1
